doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cp_0250_ce256f33,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0250.pdf,DNV-CP-0250.pdf,pending,3
mepc_mepc_mepc_84_14_2_proposal_for_a_new_output_to_support_the_implementation_of_the_bbnj_agreement_to_protect_t_australia_belgium_beliz_9e1eaab3,MEPC,GENERAL,"data/raw_pdfs/MEPC/MEPC 84-14-2 - Proposal for a new output to support the implementation of the BBNJ Agreement to protect t... (Australia, Belgium, Beliz...).pdf","MEPC 84-14-2 - Proposal for a new output to support the implementation of the BBNJ Agreement to protect t... (Australia, Belgium, Beliz...).pdf",pending,3
dnv_dnv_class_2026_04_dnv_cp_0293_067bd9fc,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0293.pdf,DNV-CP-0293.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0258_110cc85d,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0258.pdf,DNV-CP-0258.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0261_e687bec4,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0261.pdf,DNV-CP-0261.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0031_0c6d84d9,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0031.pdf,DNV-CP-0031.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0097_fe1d48f3,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0097.pdf,DNV-CP-0097.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0659_403d7bd3,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CG-0659.pdf,DNV-CG-0659.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0248_b55c3bb3,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0248.pdf,DNV-CP-0248.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0417_3d491013,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0417.pdf,DNV-CP-0417.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0593_93a82e7d,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0593.pdf,DNV-CP-0593.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0085_00d60caa,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0085.pdf,DNV-CP-0085.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0096_b3a25e1b,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0096.pdf,DNV-CP-0096.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0254_b8a7102b,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0254.pdf,DNV-CP-0254.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0245_a759a7d2,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0245.pdf,DNV-CP-0245.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0353_a036f592,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0353.pdf,DNV-CP-0353.pdf,pending,3
msc_msc_msc_111_19_proposal_for_a_new_output_to_amend_paragraph_4_6_3_1_of_the_lsa_code_to_remove_ambiguity_i_bahamas_the_marshall_isl_25488703,MSC,GENERAL,"data/raw_pdfs/MSC/MSC 111-19 - Proposal for a new output to amend paragraph 4.6.3.1 of the LSA Code to remove ambiguity i... (Bahamas, the Marshall Isl...).pdf","MSC 111-19 - Proposal for a new output to amend paragraph 4.6.3.1 of the LSA Code to remove ambiguity i... (Bahamas, the Marshall Isl...).pdf",pending,3
dnv_dnv_class_2026_04_dnv_cg_0493_7e858c39,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CG-0493.pdf,DNV-CG-0493.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0082_65f4d7e3,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0082.pdf,DNV-CP-0082.pdf,pending,3
